Precio Unitario,Cantidad en Inventario,Velocidad de Rotación,Volumen (m³),Costo de Almacenamiento,peso
888.34,441,16.0,6.94,3060.54,5.54
477.49,383,29.6,9.17,3512.11,14.93
128.4,140,3.7,3.95,553.0,4.88
716.11,329,7.5,1.81,595.49,3.96
763.18,2,3.8,2.86,5.72,8.73
565.66,8,40.6,4.56,36.48,12.61
773.26,250,37.6,2.91,727.5,3.29
498.86,139,37.7,2.34,325.26,10.79
527.51,124,35.8,7.36,912.64,1.39
433.27,309,33.5,0.09,27.81,13.82
35.16,228,23.9,5.4,1231.2,1.68
116.81,10,32.1,7.94,79.4,13.76
41.11,469,2.0,2.67,1252.23,7.62
640.05,212,31.1,6.04,1280.48,7.0
321.21,112,38.9,6.69,749.28,14.61
513.48,8,25.1,6.55,52.4,14.86
908.49,292,17.9,4.46,1302.32,9.93
256.8,477,13.9,3.47,1655.19,2.34
416.28,362,32.2,8.36,3026.32,7.84
758.0,460,34.7,7.59,3491.4,8.17
236.51,253,43.6,3.22,814.66,7.96
86.21,14,17.2,1.04,14.56,8.76
296.85,240,38.5,0.73,175.2,0.77
169.61,438,28.1,0.95,416.1,10.81
930.4,242,44.2,5.83,1410.86,10.83
810.04,469,26.4,0.53,248.57,2.17
637.07,342,25.9,3.38,1155.96,8.77
872.75,149,28.9,7.53,1121.97,8.74
805.64,236,37.5,2.95,696.2,10.4
194.7,306,48.2,7.64,2337.84,1.74
893.63,478,3.8,7.46,3565.88,9.58
543.95,167,2.8,2.47,412.49,4.57
809.37,20,46.9,7.29,145.8,7.85
897.13,216,26.5,7.48,1615.68,11.71
324.82,343,30.8,3.98,1365.14,10.73
118.95,135,24.2,2.11,284.85,2.22
235.66,393,4.8,5.22,2051.46,9.07
432.84,129,38.4,9.21,1188.09,14.55
819.83,410,37.4,6.4,2624.0,2.77
862.12,422,15.7,1.74,734.28,12.87
16.88,294,15.4,6.83,2008.02,10.69
515.64,246,41.9,4.28,1052.88,11.72
423.24,189,3.7,5.92,1118.88,4.59
229.89,44,44.1,7.34,322.96,4.67
128.67,86,12.9,5.15,442.9,13.64
344.24,44,29.7,8.14,358.16,5.72
943.48,330,46.8,7.22,2382.6,1.41
329.97,375,33.9,6.15,2306.25,9.21
523.6,446,20.8,1.52,677.92,2.31
705.99,378,34.5,8.36,3160.08,12.05
369.99,390,17.3,9.36,3650.4,9.81
972.06,145,13.9,1.38,200.1,13.18
962.82,51,49.8,4.89,249.39,11.88
259.26,242,37.6,2.6,629.2,2.13
502.28,294,32.3,7.55,2219.7,6.03
307.87,408,17.8,7.22,2945.76,11.73
291.99,51,2.6,1.42,72.42,6.55
46.52,266,1.6,8.77,2332.82,14.6
613.47,120,27.8,1.82,218.4,11.17
507.65,200,38.1,7.97,1594.0,0.72
60.96,405,26.9,4.58,1854.9,13.26
285.86,248,42.1,3.29,815.92,1.96
909.18,70,1.8,1.59,111.3,2.54
247.17,341,18.4,1.68,572.88,11.15
153.45,57,11.9,6.62,377.34,13.04
494.56,382,22.4,5.51,2104.82,8.28
985.79,39,3.7,1.23,47.97,4.69
249.63,472,47.7,1.14,538.08,5.59
675.41,289,11.2,0.73,210.97,5.47
764.0,443,46.1,7.44,3295.92,5.24
245.26,18,21.4,7.12,128.16,4.02
730.93,440,49.3,0.59,259.6,9.33
374.11,220,27.7,5.61,1234.2,13.56
635.98,313,46.5,0.86,269.18,4.95
637.19,244,0.4,9.04,2205.76,3.21
540.42,352,37.4,9.07,3192.64,12.66
99.39,460,45.2,6.99,3215.4,11.26
836.95,304,7.1,9.26,2815.04,14.0
327.57,298,4.9,8.12,2419.76,2.9
194.65,283,21.3,8.29,2346.07,2.59
50.37,74,46.7,5.7,421.8,8.35
594.98,110,27.2,3.07,337.7,9.41
680.79,180,26.4,2.19,394.2,7.46
26.42,426,7.1,3.28,1397.28,9.19
516.97,32,0.1,6.29,201.28,3.12
234.23,234,40.5,1.73,404.82,7.45
648.72,282,4.5,2.59,730.38,10.04
182.62,25,31.7,4.69,117.25,6.77
694.03,331,45.7,2.34,774.54,10.35
392.87,279,10.5,5.89,1643.31,7.04
937.36,226,33.3,9.23,2085.98,5.34
146.15,57,4.0,7.48,426.36,4.9
347.66,180,30.2,6.67,1200.6,6.46
122.34,232,8.3,5.83,1352.56,0.83
925.45,382,36.8,4.88,1864.16,10.19
878.57,343,15.1,1.87,641.41,12.75
265.36,477,23.2,8.95,4269.15,5.64
663.38,287,30.0,2.49,714.63,1.17
819.05,64,8.6,0.92,58.88,14.81
559.65,455,37.1,7.5,3412.5,4.32
534.35,232,15.2,1.76,408.32,2.34
249.43,289,33.2,3.73,1077.97,5.86
102.17,213,8.0,0.29,61.77,11.21
898.24,258,34.4,1.38,356.04,4.76
901.41,18,6.5,1.74,31.32,8.83
636.77,175,21.3,0.55,96.25,6.53
345.64,417,12.4,6.57,2739.69,2.21
355.72,229,37.4,8.37,1916.73,5.29
728.7,226,13.2,3.74,845.24,11.01
898.14,84,44.1,8.75,735.0,9.37
888.22,291,44.6,2.14,622.74,2.24
782.08,435,9.9,3.26,1418.1,2.87
645.61,370,30.7,1.52,562.4,9.79
93.3,246,4.5,6.21,1527.66,12.29
170.01,402,19.6,4.2,1688.4,5.57
899.57,110,35.7,6.14,675.4,9.13
610.36,254,33.0,7.62,1935.48,2.97
19.11,88,31.3,5.46,480.48,5.01
110.46,72,14.2,6.28,452.16,0.79
666.87,381,19.0,9.35,3562.35,11.64
15.01,30,5.2,3.0,90.0,6.31
169.2,172,36.0,3.6,619.2,12.33
553.25,309,25.2,7.18,2218.62,10.77
694.98,394,35.5,6.12,2411.28,12.52
655.44,343,12.5,1.79,613.97,4.64
232.03,436,16.3,3.77,1643.72,3.18
715.06,177,16.8,4.68,828.36,14.59
244.88,139,1.4,4.2,583.8,10.9
332.15,194,17.1,1.79,347.26,12.59
749.03,186,40.2,9.25,1720.5,0.69
653.14,218,44.9,7.63,1663.34,5.64
850.73,164,26.0,4.82,790.48,11.27
661.04,161,22.8,6.8,1094.8,1.63
572.63,431,1.6,8.97,3866.07,8.73
102.74,13,44.0,1.37,17.81,6.72
374.04,296,0.7,2.51,742.96,0.76
272.55,89,47.2,5.43,483.27,3.92
251.55,324,24.5,7.99,2588.76,4.63
973.28,42,17.2,0.37,15.54,2.12
399.17,403,46.2,9.84,3965.52,9.66
893.13,210,1.3,4.55,955.5,4.01
634.83,229,29.1,3.6,824.4,4.53
796.86,350,27.5,2.93,1025.5,13.52
507.61,275,11.0,1.75,481.25,7.27
581.13,442,21.5,7.92,3500.64,6.19
497.59,279,32.6,9.55,2664.45,11.0
203.29,251,36.4,4.14,1039.14,13.69
725.23,310,0.1,9.52,2951.2,0.86
287.96,208,46.8,8.24,1713.92,7.0
34.07,321,8.3,4.82,1547.22,9.36
649.02,140,11.8,6.74,943.6,5.12
185.34,280,13.2,4.36,1220.8,11.7
941.05,34,2.0,5.59,190.06,14.59
954.39,309,6.2,0.59,182.31,14.18
915.72,392,49.3,6.97,2732.24,4.36
376.46,18,15.8,0.54,9.72,3.78
25.3,57,5.9,8.17,465.69,14.38
929.04,112,5.4,8.25,924.0,7.15
433.9,5,36.0,2.38,11.9,3.52
966.99,410,42.7,3.24,1328.4,10.75
963.98,414,12.9,4.82,1995.48,4.62
854.48,182,1.1,5.97,1086.54,4.38
301.5,13,11.2,2.88,37.44,13.25
391.25,339,2.9,5.93,2010.27,2.86
852.63,285,5.3,2.98,849.3,1.43
323.75,259,21.6,0.56,145.04,4.4
177.8,90,11.6,0.04,3.6,9.3
561.23,104,25.8,1.02,106.08,2.28
936.79,379,12.7,7.92,3001.68,7.34
699.07,186,47.0,9.61,1787.46,9.6
574.36,250,45.3,4.28,1070.0,12.81
106.2,255,28.4,5.13,1308.15,3.83
618.86,76,17.8,1.48,112.48,12.35
990.15,386,19.1,5.51,2126.86,3.91
148.68,459,20.7,1.46,670.14,10.31
523.15,108,36.4,6.12,660.96,6.74
878.6,156,22.6,9.33,1455.48,2.16
743.36,82,42.9,1.97,161.54,10.86
700.05,77,47.2,7.65,589.05,3.66
705.46,485,16.9,0.24,116.4,3.06
365.9,470,28.1,3.76,1767.2,5.7
300.66,460,4.8,1.12,515.2,9.97
811.27,258,10.1,3.53,910.74,3.89
812.01,127,20.7,1.74,220.98,3.16
868.4,485,10.4,3.74,1813.9,0.64
914.11,391,43.8,4.18,1634.38,7.34
516.23,282,8.0,3.01,848.82,6.72
506.5,474,22.8,6.57,3114.18,3.89
800.31,88,30.3,9.19,808.72,1.28
653.46,204,34.6,4.01,818.04,6.72
704.95,16,19.2,1.93,30.88,11.93
797.83,151,43.5,2.71,409.21,10.87
891.11,424,28.5,8.54,3620.96,12.98
344.62,254,22.0,5.72,1452.88,0.64
381.83,188,3.5,4.56,857.28,14.51
103.04,329,23.3,1.5,493.5,5.45
582.5,32,41.1,4.5,144.0,14.86
45.58,271,30.8,2.79,756.09,4.16
470.94,485,41.6,9.43,4573.55,7.34
547.22,397,24.8,8.84,3509.48,5.63
293.68,5,6.0,0.85,4.25,5.66
594.92,459,0.8,5.17,2373.03,12.71
40.2,330,15.2,2.26,745.8,11.32
46.97,308,34.9,4.11,1265.88,14.89
824.37,333,39.5,8.77,2920.41,9.4
366.59,169,14.9,5.28,892.32,7.22
135.79,181,24.8,3.35,606.35,1.81
527.02,366,21.1,2.09,764.94,14.95
772.29,178,20.6,8.01,1425.78,8.5
223.66,143,11.6,6.25,893.75,10.66
626.66,362,6.9,4.69,1697.78,6.4
94.49,248,9.9,2.18,540.64,8.44
61.16,127,2.9,3.35,425.45,14.17
536.04,263,10.0,9.6,2524.8,2.91
545.23,40,0.6,5.21,208.4,4.74
641.06,412,31.4,4.01,1652.12,2.7
728.83,416,15.9,5.22,2171.52,11.99
976.09,355,48.7,7.79,2765.45,1.4
521.14,255,9.8,3.41,869.55,1.68
329.73,143,17.4,1.8,257.4,4.83
797.23,240,18.0,5.85,1404.0,7.96
278.12,228,0.5,6.66,1518.48,6.39
444.58,341,42.0,7.13,2431.33,1.15
87.67,198,1.7,8.82,1746.36,14.38
35.1,65,47.0,3.72,241.8,14.32
963.02,388,44.6,0.76,294.88,4.55
837.62,11,26.8,9.58,105.38,11.11
699.01,108,27.2,4.36,470.88,8.89
414.86,26,32.7,6.24,162.24,3.94
181.56,445,19.4,6.67,2968.15,4.3
164.87,421,32.4,5.47,2302.87,7.62
257.74,151,2.3,2.06,311.06,6.58
553.73,221,2.8,7.55,1668.55,4.72
717.45,341,22.9,8.04,2741.64,12.21
663.6,496,27.5,5.53,2742.88,7.48
287.13,237,44.4,4.89,1158.93,10.0
955.32,237,5.3,1.15,272.55,3.24
740.52,497,41.2,0.85,422.45,8.24
558.81,219,10.6,3.4,744.6,5.11
615.6,487,19.8,3.12,1519.44,8.13
425.4,424,15.9,9.54,4044.96,11.82
255.25,461,20.1,7.84,3614.24,11.65
362.41,151,7.6,6.6,996.6,5.64
760.27,123,25.2,5.18,637.14,10.57
24.25,144,40.1,1.68,241.92,14.15
124.91,478,22.1,9.78,4674.84,9.57
55.54,189,24.6,3.76,710.64,2.65
50.32,255,42.5,1.08,275.4,10.36
856.91,68,35.3,4.94,335.92,2.02
706.62,104,24.6,8.74,908.96,13.15
479.43,336,13.0,8.87,2980.32,7.99
106.86,159,44.3,0.12,19.08,6.08
496.7,309,28.9,8.86,2737.74,1.33
478.74,362,11.1,2.72,984.64,6.02
181.47,409,13.5,0.4,163.6,13.6
439.51,300,40.2,8.48,2544.0,0.8
404.52,396,2.3,8.64,3421.44,7.38
619.69,90,49.6,5.97,537.3,14.0
638.74,357,6.6,5.75,2052.75,6.23
54.85,256,39.8,8.13,2081.28,6.71
380.87,496,19.8,7.87,3903.52,8.89
629.6,353,24.7,8.9,3141.7,7.21
508.1,220,44.0,5.53,1216.6,2.94
857.92,9,20.7,9.68,87.12,0.77
662.11,12,26.9,9.96,119.52,9.34
171.31,325,2.6,1.17,380.25,13.85
79.86,438,0.2,8.5,3723.0,2.04
646.0,244,12.3,5.0,1220.0,3.56
36.25,182,34.1,3.88,706.16,5.87
589.92,284,6.2,6.13,1740.92,12.23
940.83,312,5.8,0.57,177.84,4.4
579.72,99,20.6,5.07,501.93,13.29
394.29,197,32.4,8.71,1715.87,1.3
646.86,482,35.6,2.14,1031.48,14.14
463.67,366,9.0,4.27,1562.82,8.63
550.16,226,4.1,9.4,2124.4,10.05
942.05,333,47.0,4.29,1428.57,5.83
392.24,103,13.1,3.59,369.77,11.84
961.58,106,42.7,4.41,467.46,2.92
906.3,365,43.2,5.2,1898.0,1.21
203.83,368,38.6,6.32,2325.76,6.23
78.67,58,8.5,8.01,464.58,12.88
109.77,78,41.1,4.53,353.34,11.45
28.04,75,38.5,8.18,613.5,8.0
103.5,42,29.9,5.34,224.28,8.8
686.18,422,16.9,3.39,1430.58,2.38
80.48,324,13.2,6.58,2131.92,12.69
325.79,181,6.2,7.18,1299.58,11.91
846.43,33,25.5,5.58,184.14,10.02
33.04,71,29.3,0.58,41.18,7.26
816.32,56,18.0,1.71,95.76,14.48
289.04,105,23.8,2.86,300.3,13.25
126.98,200,18.2,2.83,566.0,9.84
699.77,101,32.1,6.74,680.74,5.89
632.65,256,45.1,0.19,48.64,9.46
878.7,307,8.3,7.56,2320.92,8.84
737.72,74,19.1,2.66,196.84,6.22
805.45,171,7.1,3.11,531.81,4.95
289.21,377,31.3,5.28,1990.56,6.4
185.67,143,36.5,2.17,310.31,8.82
753.11,166,46.6,8.85,1469.1,6.71
808.77,399,14.0,0.86,343.14,4.32
990.6,261,47.5,4.45,1161.45,11.53
418.49,221,3.3,8.5,1878.5,8.21
378.3,83,30.2,6.16,511.28,1.48
778.65,182,3.0,2.93,533.26,5.84
347.4,307,44.7,4.21,1292.47,13.33
931.45,10,26.5,7.07,70.7,11.45
859.83,396,33.5,9.73,3853.08,5.19
434.7,4,41.6,8.93,35.72,14.1
753.36,351,7.6,3.43,1203.93,1.61
757.0,402,2.0,9.98,4011.96,14.44
112.09,336,44.0,0.05,16.8,4.06
903.53,488,15.8,0.29,141.52,0.63
510.2,292,6.5,8.24,2406.08,6.79
828.19,281,23.5,2.0,562.0,5.71
326.85,215,30.0,0.62,133.3,8.32
896.57,460,1.6,2.38,1094.8,12.05
395.31,98,13.8,4.27,418.46,12.72
20.73,420,1.7,7.31,3070.2,6.32
906.33,101,21.1,6.25,631.25,6.73
100.37,451,44.8,2.38,1073.38,2.65
326.12,9,49.1,5.04,45.36,1.19
950.56,61,31.9,9.26,564.86,9.8
951.1,309,8.2,8.15,2518.35,1.43
577.7,146,45.3,3.24,473.04,11.14
635.52,427,25.9,9.82,4193.14,8.32
453.96,419,7.8,7.09,2970.71,3.38
300.28,63,46.1,0.63,39.69,8.32
335.38,121,37.9,0.36,43.56,3.15
675.79,226,36.6,1.69,381.94,6.86
754.85,105,35.5,7.28,764.4,12.09
793.66,462,10.1,1.85,854.7,7.2
791.72,260,10.6,5.12,1331.2,2.66
100.29,349,34.4,0.94,328.06,11.0
499.48,425,11.1,9.21,3914.25,3.21
66.98,255,22.0,3.45,879.75,11.21
554.03,429,39.1,9.08,3895.32,7.45
447.12,434,39.2,9.45,4101.3,7.08
888.83,207,22.7,0.07,14.49,12.85
357.41,28,39.6,4.65,130.2,10.77
125.9,170,41.9,0.26,44.2,0.98
151.56,336,32.8,9.09,3054.24,4.79
763.9,76,11.5,5.19,394.44,13.13
622.04,116,13.8,0.76,88.16,0.77
110.11,69,15.8,1.11,76.59,8.41
93.27,354,5.9,3.84,1359.36,11.05
703.96,234,13.7,9.4,2199.6,9.52
82.04,1,10.6,6.93,6.93,11.53
823.64,167,22.8,8.68,1449.56,11.02
709.18,352,45.4,3.67,1291.84,10.53
90.54,218,5.3,0.44,95.92,12.41
93.99,273,36.0,9.74,2659.02,9.86
986.77,368,34.4,0.18,66.24,6.34
380.53,251,4.9,9.48,2379.48,7.34
376.94,347,46.1,3.69,1280.43,10.89
814.67,344,28.5,0.11,37.84,13.21
947.78,419,18.2,6.89,2886.91,4.45
986.14,174,37.9,9.81,1706.94,5.46
755.84,170,12.9,9.66,1642.2,14.0
382.5,246,34.7,1.62,398.52,8.89
92.67,423,2.1,1.82,769.86,3.09
779.38,90,42.0,5.66,509.4,10.12
562.82,49,22.5,6.38,312.62,14.87
429.98,446,31.9,7.4,3300.4,12.44
907.29,294,11.1,1.82,535.08,11.31
120.09,407,33.9,9.59,3903.13,3.52
497.7,150,38.6,6.39,958.5,13.2
21.24,132,23.7,8.47,1118.04,8.12
473.97,433,30.9,5.41,2342.53,13.39
65.74,59,22.9,4.15,244.85,5.28
127.63,457,44.7,9.77,4464.89,1.4
126.35,324,24.9,5.83,1888.92,7.4
652.72,199,42.1,8.67,1725.33,4.41
748.58,215,40.1,9.53,2048.95,10.87
587.54,386,20.6,6.76,2609.36,14.38
962.55,49,11.6,5.49,269.01,10.52
381.12,472,20.4,0.05,23.6,13.36
292.85,232,41.3,0.41,95.12,7.07
869.91,247,11.5,2.02,498.94,11.69
231.36,382,26.3,1.87,714.34,12.72
963.59,479,40.3,2.56,1226.24,10.81
22.03,239,17.7,3.06,731.34,7.86
970.18,415,32.1,3.61,1498.15,9.58
52.73,367,12.4,4.21,1545.07,10.66
892.23,168,5.6,1.0,168.0,4.17
532.42,48,39.7,0.43,20.64,12.24
993.04,51,5.0,6.74,343.74,14.28
83.06,299,13.6,5.38,1608.62,7.25
558.32,98,42.8,4.45,436.1,10.67
969.61,439,17.4,6.35,2787.65,11.19
527.87,216,48.7,8.28,1788.48,10.1
633.1,177,49.0,4.28,757.56,8.43
698.79,380,13.5,6.41,2435.8,13.28
460.0,474,2.1,9.54,4521.96,7.01
631.28,80,35.3,8.4,672.0,1.39
588.47,185,22.6,4.27,789.95,12.75
902.15,367,5.1,6.45,2367.15,10.27
54.99,461,35.4,1.78,820.58,12.81
288.15,399,1.7,5.61,2238.39,2.51
950.91,27,43.5,9.81,264.87,0.95
891.36,452,7.0,5.19,2345.88,14.05
461.1,464,6.5,9.28,4305.92,2.64
623.93,448,8.9,4.08,1827.84,12.24
284.61,478,48.0,9.99,4775.22,12.44
196.24,492,34.7,5.8,2853.6,10.78
469.06,414,40.1,0.43,178.02,2.4
359.82,420,19.9,5.87,2465.4,10.18
587.82,195,16.9,2.75,536.25,13.39
86.96,214,11.8,0.33,70.62,6.67
974.65,369,24.1,8.21,3029.49,6.5
986.35,342,27.6,2.76,943.92,6.92
701.18,114,31.6,7.97,908.58,1.69
540.74,242,12.9,2.89,699.38,13.43
316.43,124,47.4,1.95,241.8,13.1
815.66,305,8.6,9.74,2970.7,14.97
687.88,76,48.3,3.62,275.12,8.99
170.99,311,0.8,6.02,1872.22,11.39
911.82,469,24.1,6.1,2860.9,3.44
824.31,312,16.7,5.61,1750.32,10.18
950.3,196,22.5,9.15,1793.4,9.92
728.46,351,28.6,6.75,2369.25,13.57
617.28,44,21.8,4.04,177.76,12.55
424.06,415,20.8,8.63,3581.45,14.11
933.4,186,36.7,1.82,338.52,13.1
867.4,343,34.3,5.45,1869.35,13.1
54.77,246,41.7,9.51,2339.46,1.42
36.1,437,12.6,6.26,2735.62,12.77
382.7,84,30.5,8.17,686.28,9.31
812.45,207,29.3,6.54,1353.78,6.02
987.4,151,18.5,8.4,1268.4,1.32
158.91,156,24.4,9.45,1474.2,10.33
598.19,16,15.8,2.74,43.84,5.26
387.08,165,7.2,1.7,280.5,7.28
970.22,405,10.8,4.85,1964.25,10.39
843.7,463,5.4,7.02,3250.26,13.72
839.95,145,34.2,2.28,330.6,12.47
474.01,498,33.1,0.05,24.9,7.03
420.67,37,47.5,3.44,127.28,6.12
280.67,333,36.5,9.69,3226.77,3.98
65.81,403,2.7,6.95,2800.85,5.9
866.08,414,44.2,4.02,1664.28,2.11
814.77,45,43.1,1.93,86.85,14.58
999.72,402,22.2,3.57,1435.14,8.82
996.67,206,29.3,1.71,352.26,2.35
559.88,62,48.8,1.07,66.34,5.62
771.3,420,26.7,9.07,3809.4,8.43
945.32,356,45.3,9.98,3552.88,8.23
851.15,468,4.2,1.65,772.2,1.01
254.87,308,9.6,0.55,169.4,14.29
456.04,19,22.1,3.3,62.7,4.49
137.87,365,29.3,4.62,1686.3,0.73
954.51,300,40.8,2.06,618.0,1.61
610.11,7,49.4,3.02,21.14,8.91
236.36,249,19.5,2.02,502.98,2.5
674.98,428,2.5,7.74,3312.72,1.11
621.95,117,40.1,7.13,834.21,6.0
364.58,68,30.3,6.35,431.8,9.53
122.42,34,10.0,3.88,131.92,2.12
674.86,194,24.8,9.09,1763.46,5.04
525.1,325,37.1,9.7,3152.5,6.56
774.6,55,38.5,1.74,95.7,2.81
524.96,266,25.0,2.24,595.84,7.84
853.66,480,15.3,5.26,2524.8,1.74
556.39,42,48.7,0.92,38.64,1.17
565.33,297,33.2,4.37,1297.89,8.04
877.89,461,20.5,5.82,2683.02,4.09
409.45,231,14.1,5.23,1208.13,1.88
142.68,453,36.6,3.32,1503.96,6.65
38.49,378,12.2,5.43,2052.54,13.77
757.59,394,8.7,9.59,3778.46,11.0
624.11,10,26.5,2.07,20.7,12.33
707.04,358,14.6,6.55,2344.9,13.14
220.83,475,31.5,0.44,209.0,14.6
145.01,444,6.0,0.67,297.48,11.57
24.4,128,32.8,5.52,706.56,9.32
357.08,179,14.2,1.06,189.74,5.8
594.02,405,0.1,0.23,93.15,3.13
398.32,392,6.4,1.72,674.24,10.46
443.1,193,46.7,5.65,1090.45,14.93
905.12,92,43.4,7.04,647.68,7.28
354.77,369,11.8,2.03,749.07,10.99
518.85,231,38.9,6.69,1545.39,7.68
785.82,78,30.5,1.83,142.74,6.76
402.58,85,48.5,6.14,521.9,6.45
625.87,30,18.7,4.13,123.9,7.82
863.74,213,34.1,6.54,1393.02,5.82
950.03,49,3.3,9.95,487.55,11.36
155.6,265,19.9,9.38,2485.7,13.18
927.32,145,48.2,0.05,7.25,13.3
497.2,69,27.0,8.86,611.34,3.8
265.66,58,14.5,0.67,38.86,13.49
464.54,185,6.1,9.53,1763.05,5.45
980.23,62,35.2,2.83,175.46,4.98
497.69,479,32.3,3.83,1834.57,11.04
335.46,308,18.8,0.93,286.44,4.92
637.07,445,47.6,1.13,502.85,1.27
247.74,296,1.2,7.27,2151.92,5.92
85.1,166,15.3,9.44,1567.04,10.96
137.59,171,46.1,6.11,1044.81,5.24
136.77,63,16.1,7.16,451.08,9.63
160.38,147,12.7,7.62,1120.14,10.07
147.44,484,26.8,2.64,1277.76,11.14
644.47,306,41.2,0.46,140.76,13.51
190.06,161,5.2,0.03,4.83,6.77
352.21,141,47.2,3.51,494.91,2.91
897.82,334,39.8,2.42,808.28,5.12
479.22,97,9.1,0.63,61.11,6.77
670.88,446,35.6,1.8,802.8,10.85
180.6,221,19.3,1.25,276.25,0.69
200.37,43,20.2,9.15,393.45,5.08
50.46,433,39.2,1.41,610.53,11.81
177.25,292,48.1,5.38,1570.96,10.23
285.8,378,6.4,5.94,2245.32,11.11
185.24,108,21.1,5.44,587.52,12.27
97.82,266,24.1,1.0,266.0,11.86
129.43,95,18.9,3.19,303.05,10.39
466.17,262,18.2,0.52,136.24,6.88
214.27,313,2.7,3.96,1239.48,14.76
370.63,385,34.3,1.89,727.65,8.75
508.38,71,21.9,5.62,399.02,3.44
693.49,442,9.8,6.93,3063.06,4.75
48.92,219,40.8,5.33,1167.27,10.56
801.42,21,40.1,4.35,91.35,13.91
631.62,92,24.4,3.88,356.96,3.09
90.94,127,15.0,8.42,1069.34,1.69
874.84,80,31.9,2.2,176.0,13.28
921.66,312,14.5,7.34,2290.08,13.77
70.47,238,11.9,7.58,1804.04,4.51
284.11,471,36.6,4.2,1978.2,5.97
