Precio Unitario,Cantidad en Inventario,Velocidad de Rotación,Volumen (m³),Costo de Almacenamiento,peso
32.63,79,1.5,0.01,0.79,6.44
135.8,146,16.4,7.19,1049.74,10.09
94.9,407,10.2,1.12,455.84,9.69
11.29,182,14.3,2.45,445.9,6.05
24.21,499,18.4,2.99,1492.01,9.39
102.89,286,26.1,5.61,1604.46,12.3
10.71,250,19.9,3.99,997.5,0.88
32.51,354,13.1,6.75,2389.5,7.03
86.82,314,24.6,0.57,178.98,11.5
106.87,196,27.2,1.25,245.0,8.42
101.27,323,3.7,5.0,1615.0,9.95
41.4,71,16.0,3.38,239.98,7.99
109.71,248,8.6,2.97,736.56,14.88
43.21,146,1.5,0.68,99.28,1.29
55.56,106,20.1,8.96,949.76,7.62
114.51,263,25.9,6.92,1819.96,1.83
100.95,296,5.0,1.22,361.12,2.82
128.89,70,24.4,0.66,46.2,6.05
102.07,470,25.6,9.75,4582.5,2.76
89.56,193,27.4,6.81,1314.33,14.47
23.11,68,8.0,4.18,284.24,14.23
61.48,494,27.1,7.02,3467.88,5.37
47.13,305,9.7,7.57,2308.85,9.78
44.16,52,16.6,7.8,405.6,8.24
146.22,370,1.6,4.78,1768.6,12.33
65.03,363,1.4,4.3,1560.9,9.6
134.89,285,21.6,0.12,34.2,0.5
98.36,405,13.4,9.27,3754.35,11.57
121.27,474,7.8,6.04,2862.96,11.33
80.37,334,5.8,2.04,681.36,7.89
90.77,9,20.1,9.2,82.8,13.59
78.95,251,0.1,9.15,2296.65,13.67
37.33,431,24.2,9.89,4262.59,8.1
111.14,332,2.5,8.74,2901.68,9.32
49.31,298,5.8,9.98,2974.04,14.95
13.4,435,11.6,2.45,1065.75,4.83
100.37,184,14.6,8.42,1549.28,5.21
34.8,179,10.7,8.23,1473.17,3.15
141.66,198,9.7,2.32,459.36,13.49
143.55,128,28.9,0.99,126.72,11.3
138.08,20,19.3,9.79,195.8,2.03
61.82,472,0.8,2.97,1401.84,14.74
12.16,411,13.0,8.71,3579.81,11.1
139.96,422,26.3,0.05,21.1,12.83
69.95,328,9.1,0.22,72.16,1.2
145.33,65,2.9,4.66,302.9,7.82
144.91,182,22.8,2.39,434.98,10.63
129.42,241,18.2,6.9,1662.9,8.37
51.22,369,17.2,5.66,2088.54,10.17
63.91,24,1.7,0.78,18.72,12.36
129.16,384,4.3,1.63,625.92,5.93
54.37,431,18.7,3.89,1676.59,12.81
33.73,455,6.3,1.86,846.3,2.86
87.95,83,15.2,7.92,657.36,4.43
141.06,470,16.4,4.17,1959.9,1.13
107.44,319,8.6,0.94,299.86,5.78
89.81,185,28.5,4.85,897.25,6.01
23.6,439,25.3,0.92,403.88,12.18
96.1,316,21.7,1.3,410.8,9.97
148.61,99,2.4,2.4,237.6,6.83
29.61,62,3.3,8.6,533.2,9.96
82.57,286,14.8,9.25,2645.5,1.27
132.83,477,4.9,8.26,3940.02,3.11
113.71,22,29.4,3.35,73.7,9.59
107.58,459,4.8,2.73,1253.07,9.8
108.35,212,14.7,5.5,1166.0,11.72
60.33,126,11.0,7.22,909.72,6.34
51.1,413,19.2,9.93,4101.09,10.98
123.31,499,4.0,1.32,658.68,10.42
123.42,425,13.0,0.5,212.5,14.47
131.39,42,8.3,6.95,291.9,3.62
137.85,98,26.6,8.32,815.36,8.5
81.59,449,1.3,8.47,3803.03,9.23
80.21,31,27.4,6.79,210.49,14.98
121.76,158,25.0,9.54,1507.32,3.42
100.99,112,9.0,5.11,572.32,8.09
108.28,402,23.7,9.14,3674.28,5.52
121.41,247,1.0,9.68,2390.96,8.13
134.6,122,29.0,8.47,1033.34,3.87
57.32,273,15.8,3.1,846.3,1.19
62.58,294,9.2,1.97,579.18,8.8
23.16,398,10.9,5.49,2185.02,5.37
90.96,471,2.1,4.54,2138.34,3.14
15.03,473,29.7,8.78,4152.94,5.2
75.18,207,1.3,1.01,209.07,1.21
85.97,110,19.7,2.58,283.8,14.28
50.12,440,13.3,7.52,3308.8,8.93
92.72,278,28.5,0.96,266.88,12.31
14.27,451,7.5,3.21,1447.71,6.64
15.23,56,16.0,3.88,217.28,13.6
125.16,375,14.5,6.23,2336.25,7.51
60.43,403,21.1,1.59,640.77,8.82
27.79,57,2.1,8.61,490.77,7.63
83.11,428,5.9,4.48,1917.44,11.13
117.8,482,6.5,9.17,4419.94,8.72
40.21,291,22.2,4.68,1361.88,4.44
97.2,114,5.8,2.76,314.64,2.61
21.95,381,17.2,1.43,544.83,9.29
17.24,385,6.5,0.05,19.25,7.59
84.39,308,25.9,5.33,1641.64,1.89
85.69,341,28.3,1.08,368.28,6.24
99.24,477,15.6,3.92,1869.84,7.96
111.65,198,10.6,5.9,1168.2,12.49
146.62,421,7.1,2.76,1161.96,1.6
82.28,321,1.6,1.76,564.96,5.55
55.21,179,8.1,7.75,1387.25,12.43
121.33,385,19.7,9.47,3645.95,9.9
47.92,219,16.1,1.01,221.19,4.7
71.46,277,28.3,1.56,432.12,12.76
20.98,437,11.9,9.6,4195.2,7.65
13.55,16,20.8,0.39,6.24,7.73
144.77,492,14.7,9.78,4811.76,14.66
127.04,379,15.4,0.06,22.74,14.23
107.44,61,8.1,8.74,533.14,5.7
67.25,54,13.7,3.08,166.32,2.54
34.26,168,14.2,9.39,1577.52,5.22
31.9,26,21.2,3.18,82.68,0.94
45.03,336,28.2,6.55,2200.8,0.8
86.89,476,9.9,0.81,385.56,6.24
110.04,65,1.4,2.43,157.95,14.14
102.43,100,14.9,7.74,774.0,13.13
49.19,74,16.4,5.29,391.46,7.92
143.68,192,5.1,9.28,1781.76,8.7
113.31,171,22.8,4.29,733.59,0.59
87.61,273,29.5,8.7,2375.1,3.62
95.64,377,28.4,4.5,1696.5,0.86
68.74,187,6.0,9.79,1830.73,11.44
44.68,23,26.3,9.6,220.8,2.61
59.84,391,21.2,3.3,1290.3,13.1
116.1,428,13.7,8.86,3792.08,9.83
12.02,181,16.3,8.48,1534.88,3.83
26.25,327,25.5,2.11,689.97,2.79
16.44,108,14.5,6.25,675.0,9.6
15.7,335,11.3,0.74,247.9,13.56
129.76,162,14.8,8.37,1355.94,10.92
108.51,302,17.4,1.75,528.5,5.55
76.38,493,5.8,0.72,354.96,9.02
23.7,452,27.0,4.01,1812.52,5.01
78.83,206,20.3,5.77,1188.62,14.99
76.29,78,19.0,8.55,666.9,11.36
34.25,16,3.1,9.74,155.84,9.41
70.74,327,18.2,4.4,1438.8,6.64
65.79,96,3.7,0.61,58.56,9.46
96.22,147,2.5,7.49,1101.03,5.45
98.91,2,15.9,5.66,11.32,0.92
16.34,10,12.1,4.48,44.8,6.23
62.45,434,17.7,3.1,1345.4,13.99
97.62,125,2.8,5.03,628.75,9.58
80.44,81,13.0,3.39,274.59,1.72
129.91,485,5.3,7.57,3671.45,13.33
102.22,140,29.6,5.44,761.6,4.4
32.81,326,16.9,8.77,2859.02,4.03
19.88,150,20.7,5.44,816.0,4.81
99.94,288,9.8,2.39,688.32,8.87
13.71,361,2.9,8.51,3072.11,8.4
92.01,340,29.3,5.58,1897.2,7.63
141.63,129,8.7,2.08,268.32,10.9
90.57,438,12.8,6.24,2733.12,5.09
64.34,239,19.5,3.58,855.62,11.84
100.06,58,0.8,8.45,490.1,3.04
74.16,198,24.3,4.54,898.92,11.85
86.39,211,16.1,7.27,1533.97,10.13
141.81,402,8.4,0.96,385.92,10.41
64.05,390,1.9,3.97,1548.3,7.48
144.57,45,5.0,9.83,442.35,10.17
136.75,97,26.9,8.09,784.73,1.66
37.41,279,20.6,1.61,449.19,12.85
19.71,23,7.6,2.78,63.94,1.31
24.11,410,2.1,3.3,1353.0,2.66
12.55,461,20.7,6.51,3001.11,8.86
23.22,391,17.2,7.57,2959.87,11.22
105.62,335,12.2,7.5,2512.5,1.61
19.97,44,11.0,5.1,224.4,13.85
54.66,27,6.6,8.11,218.97,14.62
128.28,282,20.1,4.38,1235.16,9.29
13.26,97,29.1,1.25,121.25,7.48
124.03,463,5.4,5.65,2615.95,11.25
49.46,36,18.0,9.52,342.72,5.26
26.54,109,12.8,7.93,864.37,7.65
107.54,55,13.5,5.79,318.45,13.78
98.05,192,7.7,6.47,1242.24,14.36
132.85,219,24.8,9.31,2038.89,13.94
112.91,185,14.6,4.29,793.65,4.31
122.49,69,16.3,3.32,229.08,3.87
49.48,317,9.2,9.77,3097.09,4.82
34.84,130,5.5,8.64,1123.2,6.9
115.09,55,2.7,3.24,178.2,5.06
122.96,378,21.5,4.64,1753.92,5.93
148.67,97,6.0,4.16,403.52,9.5
67.77,336,20.7,1.5,504.0,11.56
62.08,87,11.8,9.58,833.46,11.17
118.7,294,12.5,4.05,1190.7,12.31
57.71,119,14.1,8.75,1041.25,0.97
140.31,208,11.1,1.9,395.2,1.19
130.18,334,3.1,5.48,1830.32,11.95
70.06,413,9.4,0.25,103.25,8.23
115.12,154,19.9,7.64,1176.56,8.88
115.64,35,20.0,5.81,203.35,1.26
24.44,79,8.7,6.26,494.54,4.2
136.36,67,13.9,0.53,35.51,9.76
80.74,343,5.9,2.12,727.16,12.96
125.7,413,6.4,0.75,309.75,13.8
54.81,34,0.8,2.9,98.6,7.76
135.37,97,26.9,6.28,609.16,8.41
64.49,169,6.4,5.67,958.23,12.58
11.52,169,6.9,6.13,1035.97,8.3
136.75,151,8.5,5.5,830.5,7.99
22.78,71,3.9,2.74,194.54,13.62
54.7,3,19.2,2.45,7.35,11.95
143.01,314,2.3,1.38,433.32,13.68
143.09,32,4.1,8.49,271.68,3.66
90.28,287,19.4,6.17,1770.79,8.1
98.46,82,10.3,1.87,153.34,12.72
72.78,43,21.3,1.78,76.54,2.11
51.05,391,16.8,8.73,3413.43,12.02
56.01,105,7.8,7.43,780.15,3.15
104.15,1,19.6,6.6,6.6,12.22
115.33,61,3.6,4.07,248.27,9.37
120.82,270,16.1,2.63,710.1,3.3
120.55,180,13.2,9.79,1762.2,7.36
22.77,224,8.1,7.97,1785.28,10.39
79.22,6,18.2,3.02,18.12,9.69
18.06,103,26.2,8.48,873.44,6.7
86.93,10,30.0,7.59,75.9,13.54
71.81,71,18.3,2.98,211.58,8.03
134.28,90,12.2,4.27,384.3,7.84
59.13,226,6.8,1.87,422.62,1.4
26.39,158,7.8,1.12,176.96,13.87
30.02,228,14.4,7.23,1648.44,3.07
116.61,405,11.1,2.68,1085.4,8.16
96.55,126,27.4,8.2,1033.2,12.15
24.16,444,11.1,9.96,4422.24,3.62
21.77,209,11.3,0.78,163.02,8.15
108.14,97,11.6,4.74,459.78,3.99
20.19,74,25.1,8.02,593.48,11.52
125.06,115,19.6,7.89,907.35,8.68
108.87,191,18.5,7.6,1451.6,12.91
21.39,495,10.1,3.5,1732.5,13.47
21.88,170,24.6,4.54,771.8,9.91
148.13,307,1.2,5.95,1826.65,11.02
62.4,448,26.1,9.74,4363.52,8.46
61.89,204,15.4,3.28,669.12,6.07
123.79,56,12.0,9.23,516.88,9.9
142.61,208,15.0,2.7,561.6,13.67
148.04,41,20.1,9.89,405.49,6.54
115.47,32,0.5,6.71,214.72,5.06
62.68,15,26.2,4.64,69.6,6.13
21.69,62,13.5,6.14,380.68,6.81
118.8,155,10.4,2.73,423.15,1.57
88.18,284,4.2,2.75,781.0,7.73
69.39,209,13.2,1.14,238.26,7.67
136.89,320,14.9,1.15,368.0,9.03
25.57,494,12.2,3.48,1719.12,5.76
78.97,187,20.4,7.63,1426.81,9.39
11.59,498,12.7,6.08,3027.84,13.23
75.61,442,28.8,1.03,455.26,14.35
17.88,130,18.0,8.52,1107.6,8.96
26.63,127,24.2,6.02,764.54,1.12
26.45,292,3.4,9.61,2806.12,14.55
100.89,114,12.0,6.71,764.94,10.73
114.45,199,10.2,1.76,350.24,5.37
91.67,13,17.1,4.74,61.62,2.63
144.7,271,25.8,6.49,1758.79,2.58
62.48,89,2.4,0.29,25.81,2.93
50.0,215,2.3,0.16,34.4,1.16
131.6,444,25.5,1.3,577.2,13.58
41.3,278,6.5,2.52,700.56,8.34
144.85,447,20.1,4.3,1922.1,10.65
11.7,474,16.3,4.88,2313.12,12.51
145.78,481,25.0,1.39,668.59,11.98
16.04,203,3.8,6.74,1368.22,13.3
134.76,74,4.0,5.97,441.78,14.53
83.88,25,16.7,2.95,73.75,6.87
149.02,101,28.4,0.15,15.15,14.28
20.33,176,12.5,0.79,139.04,10.99
87.54,427,9.9,3.92,1673.84,1.52
145.7,117,18.2,1.55,181.35,10.39
83.23,166,27.9,3.77,625.82,10.46
98.12,41,25.1,6.29,257.89,13.63
107.4,429,29.9,5.48,2350.92,5.91
73.64,344,0.8,2.32,798.08,8.98
97.86,424,3.5,3.44,1458.56,0.68
91.8,366,18.3,6.14,2247.24,5.32
136.16,120,24.6,8.61,1033.2,1.4
16.36,97,8.6,7.53,730.41,8.07
49.33,145,7.3,5.54,803.3,12.35
143.06,216,23.6,3.63,784.08,3.49
134.64,229,1.8,3.66,838.14,8.15
73.79,313,11.1,8.8,2754.4,3.46
96.82,130,15.2,0.4,52.0,2.25
48.83,352,16.9,9.88,3477.76,7.91
36.34,377,21.9,6.65,2507.05,1.65
74.92,318,10.7,6.81,2165.58,9.02
59.47,472,18.4,0.39,184.08,0.95
91.71,137,17.6,6.06,830.22,2.05
20.88,324,16.5,4.85,1571.4,8.47
146.42,337,19.3,1.07,360.59,9.08
148.07,273,7.9,2.79,761.67,0.92
107.74,117,2.6,8.9,1041.3,8.81
85.05,306,3.7,5.5,1683.0,12.66
53.33,368,6.8,4.14,1523.52,10.97
123.93,94,15.1,0.74,69.56,2.4
105.86,168,25.2,7.14,1199.52,9.09
32.77,442,21.1,7.03,3107.26,10.25
137.53,203,23.7,6.14,1246.42,1.04
125.16,341,10.6,5.11,1742.51,12.9
142.97,149,12.2,4.34,646.66,13.64
111.6,402,11.9,5.94,2387.88,12.83
95.88,183,5.8,2.34,428.22,12.46
68.55,413,1.9,9.41,3886.33,11.3
140.58,152,17.8,5.89,895.28,9.68
131.25,74,29.7,3.12,230.88,10.34
16.33,365,5.1,4.5,1642.5,12.19
13.69,401,1.5,8.06,3232.06,10.11
62.7,274,23.4,1.62,443.88,5.25
123.48,42,7.7,2.94,123.48,5.95
148.22,496,24.9,6.8,3372.8,13.51
31.06,212,21.1,3.16,669.92,0.75
93.18,101,28.4,7.93,800.93,10.63
63.32,45,12.3,1.31,58.95,14.34
145.79,82,19.9,7.63,625.66,10.74
127.9,17,14.0,0.69,11.73,14.91
127.37,73,19.0,0.14,10.22,10.47
75.62,14,13.5,8.98,125.72,1.0
68.07,433,5.7,5.82,2520.06,12.49
48.28,157,15.3,3.52,552.64,4.63
17.89,223,15.9,2.33,519.59,6.97
131.06,132,24.3,6.17,814.44,5.03
123.81,338,22.1,5.09,1720.42,4.39
149.96,404,19.9,9.92,4007.68,6.76
149.53,376,3.5,9.83,3696.08,5.99
87.76,376,21.6,6.35,2387.6,9.68
117.66,47,15.1,4.43,208.21,12.29
142.27,107,26.8,4.92,526.44,4.81
128.95,108,27.6,6.83,737.64,3.6
44.63,265,1.7,1.02,270.3,10.17
73.08,205,24.6,3.29,674.45,10.22
28.08,79,1.2,0.76,60.04,13.57
143.57,155,11.1,0.74,114.7,0.73
94.86,271,16.3,1.97,533.87,12.87
42.01,476,4.5,4.86,2313.36,8.05
104.04,485,22.4,7.85,3807.25,9.51
96.54,247,0.3,4.86,1200.42,1.82
60.14,19,5.1,3.36,63.84,6.77
25.9,346,17.5,0.83,287.18,3.8
104.02,436,21.5,5.51,2402.36,4.19
82.84,26,27.5,2.72,70.72,7.81
118.12,217,21.2,6.15,1334.55,12.28
82.82,154,20.2,9.77,1504.58,11.28
129.31,154,11.9,1.12,172.48,9.07
87.27,174,0.1,2.13,370.62,8.32
88.53,92,3.7,4.74,436.08,6.7
132.73,433,16.1,9.69,4195.77,14.6
66.49,338,20.3,7.72,2609.36,8.62
28.76,480,12.6,8.98,4310.4,4.18
14.03,181,21.9,3.34,604.54,3.84
115.72,131,15.7,9.92,1299.52,9.36
96.84,450,2.3,1.04,468.0,8.08
108.57,481,5.8,0.54,259.74,0.61
39.81,298,25.2,8.56,2550.88,12.54
29.09,275,21.8,9.27,2549.25,10.71
12.04,273,26.9,0.91,248.43,10.1
59.08,492,3.6,1.14,560.88,1.5
92.59,417,29.7,0.34,141.78,5.75
64.91,76,6.4,1.05,79.8,14.06
71.25,177,0.5,2.1,371.7,13.01
136.58,184,29.9,9.7,1784.8,4.64
58.76,319,8.5,6.68,2130.92,2.78
81.96,131,20.1,7.79,1020.49,7.01
119.71,363,5.4,7.76,2816.88,5.66
65.52,49,17.4,5.36,262.64,10.39
97.09,55,27.1,7.98,438.9,14.51
130.73,154,9.7,5.96,917.84,5.76
142.93,355,20.1,3.15,1118.25,1.4
30.59,200,5.7,5.62,1124.0,13.52
139.72,308,18.8,5.34,1644.72,1.05
78.9,356,10.2,8.24,2933.44,14.32
46.15,373,6.4,9.82,3662.86,10.14
74.28,118,9.5,4.12,486.16,14.15
147.2,263,5.4,7.64,2009.32,3.4
78.97,46,27.1,1.01,46.46,1.09
56.03,302,12.0,7.77,2346.54,7.58
98.68,356,7.4,3.72,1324.32,7.03
43.62,400,13.5,0.4,160.0,5.31
20.62,408,9.7,3.64,1485.12,14.39
28.04,189,22.4,6.11,1154.79,12.43
27.93,310,29.1,1.2,372.0,10.09
31.27,318,13.2,9.24,2938.32,2.86
29.44,129,25.8,0.79,101.91,11.15
99.72,49,17.0,9.3,455.7,11.04
35.46,25,4.8,7.07,176.75,6.66
58.39,266,20.7,3.3,877.8,13.91
135.55,118,15.5,3.91,461.38,2.92
76.35,464,19.6,7.41,3438.24,4.38
103.46,144,26.7,6.02,866.88,1.42
34.12,442,13.3,6.72,2970.24,12.03
36.92,200,27.0,3.9,780.0,9.52
15.72,157,22.5,4.88,766.16,5.07
33.65,487,14.7,9.9,4821.3,2.88
49.0,348,18.1,2.15,748.2,1.08
34.78,134,9.8,4.18,560.12,2.92
22.42,400,29.5,2.93,1172.0,7.07
26.89,148,20.1,7.65,1132.2,4.08
74.51,336,1.4,7.64,2567.04,4.26
38.89,71,9.9,2.93,208.03,13.2
61.0,233,18.7,0.82,191.06,7.97
80.48,334,1.8,0.12,40.08,11.07
106.66,299,0.8,4.28,1279.72,1.02
15.5,154,13.6,4.11,632.94,5.79
121.92,90,10.0,9.88,889.2,7.45
97.91,334,13.2,4.7,1569.8,3.2
21.45,199,8.0,2.57,511.43,2.24
132.3,161,5.0,8.91,1434.51,13.12
138.92,26,20.7,4.92,127.92,14.12
18.55,121,15.5,6.0,726.0,1.64
48.76,301,6.1,0.97,291.97,5.56
122.87,212,9.7,3.84,814.08,14.4
